uniqid,Name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1,ABN,ABN status,ABN lookup name,ABN lookup score
1,Abacus - Australian Mutuals,Business association,3.0,1992.0,NSW,financial and insurance activities,business organization,97120249523.0,Cancelled,ABACUS - AUSTRALIAN MUTUALS,100.0
2,ABC Doll Club,Leisure group,0.0,,QLD,,recreational,59265676029.0,Cancelled,ABC,88.0
3,Able Australia,Service Group,327.0,1967.0,VIC,,disabled and health advocacy,80101382996.0,Cancelled,ABLE AUSTRALIA PTY LIMITED,100.0
4,Aboriginal & Torres Strait Islander Library & Information Resource Network Inc,Citizen group,0.0,1993.0,ACT,,identity groups,12820696307.0,Active,ABORIGINAL CORPORATION,100.0
5,Aboriginal Children's Advancement Society,Service Group,1.0,1963.0,NSW,,social welfare and poor,78002677581.0,Active,ABORIGINAL CHILDREN'S ADVANCEMENT SOCIETY,100.0
6,Abused Child Trust,Service Group,70.0,1988.0,QLD,,social welfare and poor,47051964673.0,Active,ABUSED CHILD TRUST INC,100.0
7,Academy of the Social Sciences in Australia,Professional group,3.0,1971.0,ACT,education,occupational association,59957839703.0,Active,ACADEMY OF THE SOCIAL SCIENCES IN AUSTRALIA,100.0
8,Accommodation Association of Australia,Business association,9.0,1969.0,NSW,accommodation and food service activities,business organization,36322115084.0,Active,ACCOMMODATION ASSOCIATION OF AUSTRALIA INC,100.0
9,Aceda Inc,Service Group,8.0,1983.0,SA,,disabled and health advocacy,84021221084.0,Cancelled,ACEDA inc,100.0
10,Acoustic Neuroma Association Australia Inc,Service Group,0.0,1984.0,VIC,,disabled and health advocacy,99007168634.0,Active,ACOUSTIC NEUROMA ASSOCIATION AUSTRALIA,100.0
11,ActionAid Australia,Citizen group,22.0,2009.0,NSW,,social welfare and poor,87001251930.0,Active,ACTIONAID AUSTRALIA,100.0
12,Active Ageing Australia,Service Group,1.0,,SA,,social welfare and poor,61344159843.0,Active,ACTIVE AGEING AUSTRALIA,100.0
13,Adult Learning Australia,Citizen group,1.0,1960.0,VIC,,education,78533061672.0,Active,ADULT LEARNING AUST INC,100.0
14,Adults Surviving Child Abuse,Service Group,2.0,1995.0,NSW,,social welfare and poor,49072260005.0,Active,ADULTS SURVIVING CHILD ABUSE,100.0
15,Advanced Association of Beauty Therapists,Professional group,,1974.0,NSW,other service activities,occupational association,24662834214.0,Active,ADVANCED BEAUTY,94.0
16,Adventist Development & Relief Agency Australia,Service Group,21.0,1978.0,NSW,,social welfare and poor,85109435618.0,Active,ADVENTIST DEVELOPMENT AND RELIEF AGENCY,94.0
17,Aerial Agricultural Association of Australia,Business association,3.0,1958.0,ACT,agriculture forestry and fishing,business organization,13002501886.0,Active,AERIAL AGRICULTURAL ASSOCIATION OF AUSTRALIA LTD,100.0
18,Aerosol Association of Australia,Business association,1.0,1964.0,NSW,manufacturing,business organization,48340393765.0,Active,AEROSOL ASSOCIATION OF AUSTRALIA,100.0
19,AFL Players' Association,Professional group,18.0,1974.0,VIC,arts entertainmnent and recreation,occupational association,97489912318.0,Active,AFL PLAYERS,97.0
20,AFL Umpires Association,Professional group,3.0,1909.0,VIC,arts entertainmnent and recreation,occupational association,61808084131.0,Active,AFL CAIRNS UMPIRES ASSOCIATION INC,97.0
21,African Violet Association of Australia,Leisure group,0.0,,NSW,,recreational,97185253352.0,Active,AFRICAN VIOLET ASSOCIATION OFAUSTRALIA INC,95.0
22,AFS Intercultural Programs,Leisure group,14.0,1959.0,NSW,,education,54008507864.0,Active,AFS INTERCULTURAL PROGRAMS AUSTRALIA,97.0
23,Aftercare,Service Group,44.0,1907.0,NSW,,disabled and health advocacy,58000020146.0,Active,AFTERCARE,100.0
24,Aged & Community Services Australia,Citizen group,2.0,1975.0,VIC,,social welfare and poor,15123754603.0,Cancelled,A G & E D BOWER,97.0
26,Agribusiness Association of Australia,Business association,1.0,1989.0,SA,agriculture forestry and fishing,business organization,41407165846.0,Cancelled,AGRIBUSINESS ASSOC OF AUSTRALIA INC,100.0
28,AIDS Trust of Australia,Citizen group,1.0,1987.0,NSW,,disabled and health advocacy,94511958808.0,Active,AIDS TRUST OF AUSTRALIA,100.0
30,Air Conditioning and Mechanical Contractors' Association of Australia,Business association,7.0,1960.0,VIC,electricity gas steam and air conditioning supply,business organization,70002913617.0,Active,Air Conditioning & Mechanical Contractors Association of Australia,100.0
31,Air Conditioning and Refrigeration Equipment Manufacturers Association,Professional group,2.0,1968.0,ACT,electricity gas steam and air conditioning supply,occupational association,88126332810.0,Active,AIR CONDITIONING AND REFRIGERATION EQUIPMENT MANUFACTURERS ASSOCIATION OF AUSTRALIA INCORPORATED,97.0
32,Air Pollution Control Equipment Manufacturers Association,Business association,,1987.0,NSW,manufacturing,business organization,85397178361.0,Active,AIR POLLUTION CONTROL EQUIPMENT MANUFACTURERS ASSOCIATION,100.0
33,Aircraft Owners and Pilots Association of Australia,Professional group,1.5,1949.0,NSW,transportation and storage,occupational association,95004274588.0,Active,AIRCRAFT OWNERS & PILOTS ASSOC OF AUSTRALIA,100.0
34,Al-Anon Family Groups Pty Ltd,Service Group,2.0,1951.0,VIC,,disabled and health advocacy,30251705569.0,Active,AL ANON FAMILY GROUPS,100.0
35,Albanian Australian Community Association,Leisure group,0.0,,VIC,,identity groups,43704172848.0,Active,ALBANIAN AUSTRALIAN COMMUNITY ASSOC,100.0
37,Alison Hunter Memorial Foundation,Hybrid group,0.0,1998.0,NSW,,disabled and health advocacy,98085075305.0,Cancelled,ALISON HUNTER MEMORIAL FOUNDATION LIMITED,100.0
38,Allergy & Anaphylaxis Australia,Hybrid group,2.0,1993.0,NSW,,disabled and health advocacy,52006708845.0,Active,Allergy,100.0
39,Allergy & Environmental Sensitivity Support & Research Association,Service Group,0.0,1984.0,VIC,,disabled and health advocacy,52006708845.0,Active,Allergy,100.0
40,Allied Health Professions Australia,Professional group,1.0,1977.0,VIC,human health and social work activities,occupational association,60083141664.0,Active,ALLIED HEALTH PROFESSIONS AUSTRALIA LTD,100.0
41,Almond Board of Australia,Business association,7.0,,SA,agriculture forestry and fishing,business organization,31709079099.0,Active,ALMOND BOARD OF AUSTRALIA INC,100.0
42,Alternative Technology Association,Citizen group,10.0,1980.0,VIC,,public interest,57533056318.0,Active,ALTERNATIVE TECHNOLOGY ASSOCIATION INC,100.0
43,Alzheimer's Australia,Hybrid group,411.0,1985.0,ACT,,disabled and health advocacy,74688640790.0,Active,ALZHEIMER'S AUSTRALIA,100.0
44,AM Institute,Professional group,2.0,1990.0,VIC,financial and insurance activities,occupational association,50023683196.0,Active,AM INSTITUTE LTD,100.0
45,Amateur Chamber Music Society,Leisure group,,1984.0,NSW,,arts and cultural,38436569896.0,Active,Amateur Chamber Music Society Incorporated,100.0
46,American Chamber of Commerce in Australia - National/Sydney Office,Business association,20.0,1961.0,NSW,other service activities,business organization,62000361633.0,Active,AMERICAN CHAMBER OF COMMERCE IN AUSTRALIA,91.0
47,AMIDA,Citizen group,1.5,1981.0,VIC,,disabled and health advocacy,65084927391.0,Cancelled,AMIDA PTY LTD,100.0
48,Amorphous Silica Association of Australia,Business association,1.0,2003.0,NSW,construction,business organization,53952253883.0,Active,Amorphous Silica Association of Australia,100.0
49,AMPLA Ltd,Business association,2.0,1976.0,VIC,professional scientific and technical activities,business organization,98006037529.0,Active,AMPLA LIMITED,100.0
50,Amy Gillett Foundation,Citizen group,8.0,,VIC,,public interest,46200981503.0,Active,Amy Gillett Foundation,100.0
51,Anglican Mens Society in Australia,Leisure group,0.0,1910.0,VIC,,identity groups,88198393434.0,Cancelled,THE ANGLICAN MENS SOCIETY,94.0
