,ABN,Name,Main activity,Full time staff,Part time staff,Volunteers,Year,Casual staff,Total revenue,Total gross income,Employee expenses,All other expenses,Total expenses,Net surplus deficit,type,cat1_1,formed_combined2
0,11008484197,Australian Institute Of Company Directors,Higher education,178,26,0,2013,,,,,,,,Professional group,occupational association,1990.0
1,11008484197,Australian Institute Of Company Directors,Higher education,189,29,301,2014,1.0,56374000.0,59063000.0,23138000.0,32604471.0,55787000.0,3276000.0,Professional group,occupational association,1990.0
2,11008484197,Australian Institute Of Company Directors,Higher education,208,39,200,2015,4.0,60794000.0,63911000.0,26478000.0,37253004.0,63753000.0,158000.0,Professional group,occupational association,1990.0
3,11008484197,Australian Institute Of Company Directors,Higher education,228,32,200,2016,3.0,67087000.0,68135000.0,28697000.0,38373850.0,67077000.0,1058000.0,Professional group,occupational association,1990.0
4,11008484197,Australian Institute Of Company Directors,Higher education,238,24,196,2017,3.0,74492592.0,74492592.0,30754000.0,41425182.0,72194000.0,2298592.0,Professional group,occupational association,1990.0
5,11008484197,Australian Institute Of Company Directors,Higher education,250,26,196,2018,3.0,78715000.0,78715000.0,33127000.0,41823885.0,74964000.0,3751000.0,Professional group,occupational association,1990.0
6,11008484197,Australian Institute Of Company Directors,Higher education,235,53,269,2019,4.0,88302000.0,88302000.0,37142000.0,47992382.0,85146000.0,3156000.0,Professional group,occupational association,1990.0
7,11102379386,yourtown,Mental health and crisis intervention,409,162,107,2013,,,,,,,,Service Group,social welfare and poor,1961.0
8,11102379386,yourtown,"Economic, social and community development",364,114,76,2014,46.0,80528000.0,81579000.0,35170000.0,0.0,79565000.0,2014000.0,Service Group,social welfare and poor,1961.0
9,11102379386,yourtown,"Economic, social and community development",376,198,17,2015,24.0,82196000.0,83219000.0,35775000.0,45735000.0,81510000.0,1709000.0,Service Group,social welfare and poor,1961.0
10,11102379386,yourtown,Social services,404,144,39,2016,81.0,90415000.0,90555000.0,41234000.0,49710000.0,90944000.0,-389000.0,Service Group,social welfare and poor,1961.0
11,11102379386,yourtown,"Economic, social and community development",451,148,30,2017,95.0,98650000.0,98353000.0,44049000.0,50553000.0,94602000.0,3751000.0,Service Group,social welfare and poor,1961.0
12,11102379386,yourtown,Mental health and crisis intervention,410,180,60,2018,48.0,100518000.0,100563000.0,44517000.0,49557000.0,94074000.0,6489000.0,Service Group,social welfare and poor,1961.0
13,11102379386,yourtown,Mental health and crisis intervention,423,195,30,2019,91.0,103435000.0,103715000.0,48512000.0,54317000.0,102829000.0,886000.0,Service Group,social welfare and poor,1961.0
14,11883368767,Australian Respiratory Council,Other activity,2,1,9,2013,,,,,,,,Hybrid group,disabled and health advocacy,1910.0
15,11883368767,Australian Respiratory Council,Grant-making activities,1,1,6,2014,1.0,473908.0,473908.0,223383.0,239904.0,615111.0,-141203.0,Hybrid group,disabled and health advocacy,1910.0
16,11883368767,Australian Respiratory Council,Grant-making activities,1,1,3,2015,1.0,505928.0,748804.0,245732.0,266685.0,734136.0,14668.0,Hybrid group,disabled and health advocacy,1910.0
17,11883368767,Australian Respiratory Council,Grant-making activities,1,2,0,2016,1.0,471716.0,486279.0,218807.0,233488.0,679791.0,-193512.0,Hybrid group,disabled and health advocacy,1910.0
18,11883368767,Australian Respiratory Council,Grant-making activities,1,2,0,2017,1.0,408662.0,376179.0,259402.0,239348.0,757649.0,-381470.0,Hybrid group,disabled and health advocacy,1910.0
19,11883368767,Australian Respiratory Council,Grant-making activities,1,2,0,2018,1.0,453029.0,557799.0,273109.0,111071.0,632643.0,-74844.0,Hybrid group,disabled and health advocacy,1910.0
20,11883368767,Australian Respiratory Council,Grant-making activities,1,1,0,2019,1.0,760968.0,897423.0,242285.0,119950.0,619909.0,277514.0,Hybrid group,disabled and health advocacy,1910.0
21,12000637267,Autism Spectrum Australia (Aspect),Social services,317,418,0,2013,,,,,,,,Service Group,disabled and health advocacy,1966.0
22,12000637267,Autism Spectrum Australia (Aspect),Social services,350,470,76,2014,235.0,69383841.0,70329037.0,54457697.0,13259746.0,67792805.0,2536232.0,Service Group,disabled and health advocacy,1966.0
23,12000637267,Autism Spectrum Australia (Aspect),Primary and secondary education,379,569,250,2015,255.0,78291524.0,78291524.0,62881876.0,14679151.0,77627776.0,663748.0,Service Group,disabled and health advocacy,1966.0
24,12000637267,Autism Spectrum Australia (Aspect),Primary and secondary education,391,609,275,2016,304.0,83159183.0,83159183.0,67465308.0,14960294.0,82485498.0,673685.0,Service Group,disabled and health advocacy,1966.0
25,12000637267,Autism Spectrum Australia (Aspect),Primary and secondary education,408,621,275,2017,184.0,93919058.0,93919058.0,73393981.0,16530280.0,89971168.0,3947890.0,Service Group,disabled and health advocacy,1966.0
26,12000637267,Autism Spectrum Australia (Aspect),Primary and secondary education,429,624,275,2018,312.0,104882374.0,104882374.0,79102145.0,19187253.0,98332413.0,6549961.0,Service Group,disabled and health advocacy,1966.0
27,12000637267,Autism Spectrum Australia (Aspect),Primary and secondary education,429,672,312,2019,285.0,110590676.0,110590676.0,84329849.0,16676743.0,101253990.0,9336686.0,Service Group,disabled and health advocacy,1966.0
28,12078081848,Australian College Of Rural And Remote Medicine,Other education,51,4,50,2013,,,,,,,,Professional group,occupational association,1997.0
29,12078081848,Australian College Of Rural And Remote Medicine,Other education,51,6,25,2014,1.0,12948844.0,13550521.0,2805336.0,3807279.0,13241460.0,309061.0,Professional group,occupational association,1997.0
30,12078081848,Australian College Of Rural And Remote Medicine,Other education,42,5,50,2015,3.0,13924235.0,13935537.0,3214235.0,10319557.0,13533792.0,401745.0,Professional group,occupational association,1997.0
31,12078081848,Australian College Of Rural And Remote Medicine,Other education,46,3,50,2016,2.0,13558551.0,13577101.0,4146870.0,8855260.0,13002130.0,574971.0,Professional group,occupational association,1997.0
32,12078081848,Australian College Of Rural And Remote Medicine,Other education,47,6,50,2017,1.0,15134175.0,15134175.0,4497904.0,10024448.0,14522352.0,611823.0,Professional group,occupational association,1997.0
33,12078081848,Australian College Of Rural And Remote Medicine,Other education,64,4,60,2018,5.0,12551157.0,12551157.0,5054856.0,7239982.0,12294838.0,256319.0,Professional group,occupational association,1997.0
34,12078081848,Australian College Of Rural And Remote Medicine,Other education,63,4,70,2019,1.0,16830436.0,16830436.0,5965960.0,10531060.0,16497020.0,333416.0,Professional group,occupational association,1997.0
35,12231938308,Carers Australia Limited,Social services,13,6,10,2013,,,,,,,,Citizen group,disabled and health advocacy,1992.0
36,12231938308,Carers Australia Limited,Social services,14,4,6,2014,1.0,14123814.0,14123814.0,1378023.0,999415.0,14433581.0,-309767.0,Citizen group,disabled and health advocacy,1992.0
37,12231938308,Carers Australia Limited,Social services,14,4,10,2015,1.0,15499373.0,15499373.0,1724081.0,13109263.0,14833344.0,666029.0,Citizen group,disabled and health advocacy,1992.0
38,12231938308,Carers Australia Limited,Social services,16,3,23,2016,1.0,3308087.0,3308087.0,1832444.0,1299007.0,3131451.0,176636.0,Citizen group,disabled and health advocacy,1992.0
39,12231938308,Carers Australia Limited,Social services,13,4,12,2017,1.0,14712020.0,14712020.0,1811810.0,12975377.0,14787187.0,-75167.0,Citizen group,disabled and health advocacy,1992.0
40,12231938308,Carers Australia Limited,Other health service delivery,14,1,23,2018,1.0,14487916.0,14487916.0,1664499.0,1213553.0,14465417.0,22499.0,Citizen group,disabled and health advocacy,1992.0
41,12231938308,Carers Australia Limited,Other health service delivery,13,1,11,2019,0.0,15093114.0,15093114.0,1566908.0,1140732.0,14772783.0,320331.0,Citizen group,disabled and health advocacy,1992.0
42,12516756556,Australian Council Of Stoma Associations Incorporated,Civic and advocacy activities,0,1,4,2013,,,,,,,,Citizen group,disabled and health advocacy,1970.0
43,12516756556,Australian Council Of Stoma Associations Incorporated,Other activity,0,0,25,2014,0.0,0.0,73227.0,0.0,64733.0,64733.0,8494.0,Citizen group,disabled and health advocacy,1970.0
44,12516756556,Australian Council Of Stoma Associations Incorporated,Other health service delivery,0,0,6,2015,0.0,0.0,199084.0,14500.0,177817.0,192317.0,6767.0,Citizen group,disabled and health advocacy,1970.0
45,12516756556,Australian Council Of Stoma Associations Incorporated,Other health service delivery,0,0,5,2016,0.0,0.0,201173.0,29500.0,171218.0,200718.0,455.0,Citizen group,disabled and health advocacy,1970.0
46,12516756556,Australian Council Of Stoma Associations Incorporated,Other health service delivery,0,0,6,2017,0.0,181762.0,181744.0,0.0,11762.0,21762.0,159982.0,Citizen group,disabled and health advocacy,1970.0
47,12516756556,Australian Council Of Stoma Associations Incorporated,Other health service delivery,0,0,0,2018,0.0,202616.0,202616.0,0.0,242728.0,242728.0,-40112.0,Citizen group,disabled and health advocacy,1970.0
48,12516756556,Australian Council Of Stoma Associations Incorporated,Other health service delivery,0,0,0,2019,0.0,219564.0,219564.0,0.0,204042.0,204042.0,15522.0,Citizen group,disabled and health advocacy,1970.0
49,13053787965,Australian Diabetes Society Limited,Other education,0,3,15,2013,,,,,,,,Citizen group,disabled and health advocacy,1973.0
50,13053787965,Australian Diabetes Society Limited,Other education,0,3,76,2014,0.0,1292301.0,1292301.0,95789.0,1145109.0,1410898.0,-118597.0,Citizen group,disabled and health advocacy,1973.0
51,13053787965,Australian Diabetes Society Limited,Other education,0,3,25,2015,0.0,1774785.0,1774785.0,157460.0,1012040.0,1467500.0,307285.0,Citizen group,disabled and health advocacy,1973.0
52,13053787965,Australian Diabetes Society Limited,Other education,0,4,9,2016,1.0,2625082.0,2625082.0,184806.0,1177059.0,1556871.0,1068211.0,Citizen group,disabled and health advocacy,1973.0
