uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1
147,Australian Advisory Board on Autism Spectrum Disorders,Citizen group,,1966,NSW,,disabled and health advocacy
275,Australian Council for Adult Literacy,Citizen group,0,1976,ACT,,education
24,Aged & Community Services Australia,Citizen group,2,1975,VIC,,social welfare and poor
1123,Hepatitis Australia,Citizen group,4,1997,ACT,,disabled and health advocacy
328,Australian Family Association,Citizen group,0,1980,VIC,,public interest
331,Australian Federation of AIDS Organisations,Citizen group,16,1985,NSW,,disabled and health advocacy
1486,Refugee Council of Australia,Citizen group,1.5,1981,NSW,,public interest
1691,Wilderness Society Inc,Citizen group,150,1976,TAS,,public interest
1413,Pagan Awareness Network Incorporated,Citizen group,0,1997,NSW,,identity groups
966,Doctors Reform Society of Australia,Citizen group,0,1974,NSW,,disabled and health advocacy
854,Citizens Committee on Human Rights Inc,Citizen group,,1969,NSW,,public interest
1501,Right to Life Australia Inc,Citizen group,3,1980,VIC,,public interest
818,Catholic Womens League Australia Inc,Citizen group,0.5,1916,QLD,,identity groups
1545,Shared Parenting Council of Australia,Citizen group,,2002,WA,,age
901,Continence Foundation of Australia Ltd,Citizen group,13,1989,VIC,,disabled and health advocacy
1019,Federation of Australian Buddhist Councils,Citizen group,0,,VIC,,identity groups
764,Blind Citizens Australia,Citizen group,3,1975,VIC,,disabled and health advocacy
1305,National Association of People Living With HIV/AIDS,Citizen group,7,1988,NSW,,disabled and health advocacy
1704,Women's Services Network,Citizen group,,1995,ACT,,gender
733,Australians for Native Title and Reconciliation,Citizen group,2,,NSW,,identity groups
1268,Mental Illness Fellowship of Australia,Citizen group,3,1986,SA,,disabled and health advocacy
1365,National Stroke Foundation,Citizen group,70,1996,VIC,,disabled and health advocacy
847,Choose Cruelty Free Ltd,Citizen group,0,1992,VIC,,public interest
62,Archery Australia Inc,Citizen group,4,1948,NSW,,recreational
1258,Medical Association for Prevention of War,Citizen group,1,1981,VIC,,public interest
1479,Rationalist Society of Australia,Citizen group,2,1925,VIC,,public interest
1649,Total Environment Centre,Citizen group,10,1972,NSW,,public interest
1387,Nutrition Australia,Citizen group,12,1979,QLD,,disabled and health advocacy
4,Aboriginal & Torres Strait Islander Library & Information Resource Network Inc,Citizen group,0,1993,ACT,,identity groups
1198,Isolated Children's Parents Association,Citizen group,0,1971,SA,,education
316,Australian Drug Foundation,Citizen group,40,1959,VIC,,disabled and health advocacy
1126,Hindu Council of Australia,Citizen group,,,NSW,,identity groups
1436,Playgroup Australia,Citizen group,4,,QLD,,age
941,Deaf Australia Inc,Citizen group,4,1986,QLD,,disabled and health advocacy
1415,Palliative Care Australia,Citizen group,7,1990,ACT,,disabled and health advocacy
766,Blind Sports Australia,Citizen group,1,1980,VIC,,disabled and health advocacy
281,Australian Council of National Trusts,Citizen group,2,1965,ACT,,arts and cultural
50,Amy Gillett Foundation,Citizen group,8,,VIC,,public interest
1717,Zionist Federation of Australia,Citizen group,5,1927,VIC,,identity groups
1702,Women With Disabilities Australia,Citizen group,1,1995,TAS,,disabled and health advocacy
1060,Friends of Libraries Australia Inc,Citizen group,1,1994,VIC,,arts and cultural
232,Australian Catholic Social Justice Council,Citizen group,4,1988,NSW,,identity groups
1189,"Internet Society of Australia, The",Citizen group,,,VIC,,public interest
1284,Murray Darling Association Inc,Citizen group,2,1944,NSW,,public interest
1324,National Council of Women of Australia Inc Ltd,Citizen group,0,1931,ACT,,gender
65,Armenian National Committee of Australia,Citizen group,,,VIC,,identity groups
126,Australia Zoo Wildlife Warriors Worldwide Ltd,Citizen group,3,2002,QLD,,public interest
1699,Women and the Australian Church,Citizen group,0.5,1984,NSW,,identity groups
169,Australian Association for the Wellbeing of Children in Healthcare,Citizen group,1,1973,VIC,,disabled and health advocacy
309,Australian Diabetes Society,Citizen group,1,1973,NSW,,disabled and health advocacy
66,Arthritis Australia,Citizen group,5,1949,NSW,,disabled and health advocacy
56,Animals Australia,Citizen group,13,1980,VIC,,public interest
1465,Proportional Representation Society of Australia,Citizen group,0,1983,ACT,,public interest
42,Alternative Technology Association,Citizen group,10,1980,VIC,,public interest
1020,Federation of Australian Historical Societies Inc,Citizen group,0.5,1977,ACT,,recreational
1714,Young People and the Arts Australia,Citizen group,2,1994,QLD,,arts and cultural
1537,Secretariat of National Aboriginal and Islander Child Care,Citizen group,7,1983,VIC,,identity groups
920,Country Women's Association of Australia,Citizen group,0,1945,TAS,,agriculture
600,Australian Republican Movement,Citizen group,1,1991,ACT,,public interest
1354,National Rifle Association of Australia Ltd,Citizen group,1,1888,QLD,,recreational
1679,"Voiceless, the animal protection institute",Citizen group,6,2004,NSW,,public interest
851,Chronic Illness Alliance Inc,Citizen group,1.5,1994,VIC,,disabled and health advocacy
302,Australian Deer Association,Citizen group,0.5,1969,VIC,,recreational
594,Australian Rainforest Conservation Society Inc,Citizen group,3,1982,QLD,,public interest
899,Consumers' Federation of Australia,Citizen group,1,1974,VIC,,public interest
389,Australian Historic Motoring Council Inc,Citizen group,0,,ACT,,recreational
921,CREATE Foundation,Citizen group,40,1993,NSW,,age
1663,United Nations Association of Australia,Citizen group,0.5,1947,ACT,,public interest
666,Australian Sports Organisation for the Disabled Inc,Citizen group,1,1981,NSW,,disabled and health advocacy
282,Australian Council of Social Service,Citizen group,9,1956,NSW,,social welfare and poor
187,Australian Automobile Association,Citizen group,8,1924,ACT,,public interest
1259,Medical Error Action Group,Citizen group,5,1996,NSW,,disabled and health advocacy
1384,Non Smokers Movement of Australia Inc,Citizen group,0,1977,NSW,,disabled and health advocacy
811,Carers Alliance,Citizen group,,1992,NSW,,disabled and health advocacy
478,Australian Lung Foundation,Citizen group,11,1990,QLD,,disabled and health advocacy
1611,Synapse,Citizen group,,1984,QLD,,disabled and health advocacy
1378,Navy League of Australia,Citizen group,0.5,1955,VIC,,defence
1578,Sporting Shooters Association of Australia,Citizen group,2,1948,NSW,,recreational
1407,Ovarian Cancer Australia,Citizen group,5,2001,VIC,,disabled and health advocacy
261,Australian Committee for UNICEF Ltd (ta Unicef Australia),Citizen group,35,1963,NSW,,age
1429,Physical Activity Australia,Citizen group,3,1982,VIC,,recreational
762,Birds Australia,Citizen group,5,1901,VIC,,public interest
1332,National Ethnic and Multicultural Broadcasters Council,Citizen group,3,1989,VIC,,identity groups
1030,Field & Game Australia Inc,Citizen group,35,1958,VIC,,recreational
1298,National Association for Prevention of Child Abuse and Neglect,Citizen group,5,1987,NSW,,age
1052,Foundation for Australia's Most Endangered Species Ltd,Citizen group,1,1993,SA,,public interest
954,Diabetes Australia,Citizen group,20,1968,ACT,,disabled and health advocacy
489,Australian Marine Conservation Society,Citizen group,7,1965,QLD,,public interest
1518,RSPCA Australia Inc,Citizen group,14,1980,ACT,,public interest
983,EMILY'S List Australia,Citizen group,2.5,1996,VIC,,gender
1661,Union of Australian Women Inc,Citizen group,0,1950,VIC,,gender
1392,Older People Speak Out Inc,Citizen group,,1992,QLD,,age
1361,National Seniors Australia Ltd,Citizen group,5,1976,QLD,,age
1403,Osteoporosis Australia,Citizen group,3,2001,NSW,,disabled and health advocacy
1022,Federation of Chinese Associations,Citizen group,2,,VIC,,identity groups
101,Assyrian Australian Association,Citizen group,1,1969,NSW,,identity groups
336,Australian Federation of Graduate Women Inc,Citizen group,0,1922,ACT,,gender
89,Association of Independent Retirees Ltd,Citizen group,0,1990,ACT,,age
1498,Returned & Services League of Australia Ltd,Citizen group,3,1916,ACT,,defence
245,Australian Christian Lobby,Citizen group,10,1996,ACT,,identity groups
1716,YWCA of Australia,Citizen group,3,1907,ACT,,identity groups
1213,Knights of the Southern Cross,Citizen group,,1919,ACT,,identity groups
1376,Naval Association of Australia Inc,Citizen group,0,1920,VIC,,defence
307,Australian Diabetes Council,Citizen group,,1937,NSW,,disabled and health advocacy
458,Australian Koala Foundation,Citizen group,6,1986,QLD,,public interest
140,Australia/Israel & Jewish Affairs Council,Citizen group,15,,VIC,,identity groups
1135,Homelessness Australia,Citizen group,2,1998,ACT,,social welfare and poor
797,Business & Professional Women Australia,Citizen group,,,VIC,,gender
974,Early Childhood Intervention Australia,Citizen group,0,1972,NSW,,age
1069,GAIN Inc,Citizen group,0,,WA,,disabled and health advocacy
241,Australian Childhood Foundation,Citizen group,,1986,VIC,,age
1599,Suicide Prevention Australia,Citizen group,4,1992,NSW,,disabled and health advocacy
1023,Federation of Ethnic Communities' Councils of Australia Inc,Citizen group,0.5,1979,ACT,,identity groups
