,ABN,ABN status,ABN lookup name,ABN lookup score
0,53085018408.0,Active,AUSTRALIAN ADVISORY BOARD ON AUTISM SPECTRUM DISORDERS LIMITED,100.0
1,18120488674.0,Active,AUSTRALIAN COUNCIL FOR ADULT LITERACY,100.0
2,15123754603.0,Cancelled,A G & E D BOWER,97.0
3,38442686487.0,Active,HEPATITIS AUSTRALIA INC,100.0
4,53441526057.0,Active,AUSTRALIAN FAMILY ASSOCIATION,100.0
5,91708310631.0,Active,AUSTRALIAN FEDERATION OF AIDS ORGANISATIONS,100.0
6,87956673083.0,Active,REFUGEE COUNCIL OF AUSTRALIA,100.0
7,62007508349.0,Cancelled,THE WILDERNESS SOCIETY,100.0
8,23557117491.0,Active,PAGAN AWARENESS NETWORK INC,100.0
9,33967923389.0,Active,Doctors Reform Society Australia,100.0
10,83827782128.0,Active,CITIZENS COMMITTEE ON HUMAN RIGHTS INC,100.0
11,12774010375.0,Active,RIGHT TO LIFE AUSTRALIA,100.0
12,91323005375.0,Active,CATHOLIC WOMENS LEAGUE AUSTRALIA,100.0
13,54572251767.0,Cancelled,Shared Parenting Council Of Australia Incorporated,100.0
14,17655363801.0,Active,CONTINENCE FOUNDATION OF AUSTRALIA,100.0
15,65862613089.0,Active,Federation of Australian Buddhist Councils INC,100.0
16,90006985226.0,Active,BLIND CITIZENS AUSTRALIA,100.0
17,79052437899.0,Active,NATIONAL ASSOCIATION OF PEOPLE LIVINGWITH HIV/AIDS,100.0
18,16068548631.0,Active,WESNET (WOMEN'S SERVICES NETWORK) INCORPORATED,97.0
19,84110327639.0,Active,AUSTRALIANS FOR NATIVE TITLE & RECONCILIATION,100.0
20,73204129543.0,Active,MENTAL ILLNESS FELLOWSHIP OF AUSTRALIA INCORPORATED,100.0
21,42006173379.0,Active,NATIONAL STROKE FOUNDATION,100.0
22,84057195927.0,Active,CHOOSE CRUELTY FREE LTD,100.0
23,26458735812.0,Active,ARCHERY AUSTRALIA INCORPORATED,100.0
