ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
11000047950,Sydney Missionary & Bible College,,Large,31,25,4
11000073870,Integricare,Primary and secondary education,Large,79,141,0
11000761571,Australian Missionary Tidings,Religious activities,Large,2,3,0
11001233790,The Greek Orthodox Church & Community Of The Holy Apostles City Of Newcastle & District Limited,Religious activities,Medium,1,0,25
11001241005,Wangarang Industries Limited,Employment and training,Large,41,118,0
11001350867,Subud Australia,Religious activities,Small,0,0,31
11001794396,Bethel Christian School Limited,Other education,Large,17,6,2
11001832828,Pacific Hills Christian Education Limited,Primary and secondary education,Large,85,106,0
11002058127,Burrum Benevolent Society Inc,Other activity,Small,0,0,20
11002389746,St Peters Pre-School Ltd,Other education,Medium,1,12,80
11002595422,Chrysalis School For Rudolf Steiner Education Ltd,,Large,6,30,22
11003362481,Lasercraft Australia Ltd,Employment and training,Large,4,12,0
11004285956,Australian Nurses Memorial Centre,Higher education,Small,2,0,0
11004857827,Austin Medical Research Foundation,Other health service delivery,Large,0,2,0
11005151771,Braemar College Limited,Primary and secondary education,Large,76,37,0
11005353218,Buddha Sasana Association Of Australia Incorporated,Religious activities,Small,0,3,50
11005369169,Uca - Yarawalla,Religious activities,Small,0,0,5
11005583960,Odyssey House Victoria,Other health service delivery,Large,65,45,10
11005898251,The Dla Foundation Pty Ltd,,Small,0,0,12
11005906054,St George Family Support Services Inc.,,Medium,2,5,5
11008484197,Australian Institute Of Company Directors,Higher education,Large,178,26,0
11010805927,Victorian Brumby Association Inc,Animal protection,Small,0,0,7
11010856725,Sydney Sri Ayyappa Swami Centre Incorporated,Religious activities,Small,1,0,12
11014757615,Hannans Primary School Parents & Citizens Association Inc,Primary and secondary education,Small,0,0,20
11019639609,Denzil Don Kindergarten Inc,Other education,Medium,0,12,10
11019967071,2Lm Childrens Christmas Appeal,,Small,0,0,18
11021947936,Yagoona Baptist Church,Religious activities,Small,0,1,6
11022882563,Irvinebank School Of Arts And Progress Association Inc,,Small,0,1,65
11024646824,Lancefield Kindergarten Inc,Other education,Small,2,1,50
11027915897,Qcwa Branch Macalister,,Small,0,0,10
11029187646,The Trustee For Bbc Education Building Fund,,Small,0,0,0
11031563484,The Trustee For The Balmain Parish St Johns - Acpt (1023),Religious activities,Small,0,0,11
11032433089,Russian Ethnic Community Council Of NSW Inc,Aged care activities,Small,0,0,5
11036231838,The Trustee For The Foundation For Imaging Research,,Medium,0,0,5
11036390091,The Bunker Cartoon Gallery Inc,Culture and arts,Small,0,0,4
11037728335,Mitchell House Inc,,Large,3,55,6
11038579170,Medi Aid Centre Foundation Ltd,Housing activities,Large,17,16,9
11043348720,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Small,0,0,0
11044356392,Great Lakes Meals On Wheels ,,Medium,1,6,250
11045845426,The Family And Disability Society Of Wa Incorporated,Social services,Small,0,0,2
11046688404,Minlaton Hostel For The Aged Inc,Aged care activities,Medium,0,32,13
11050453769,The Community Church,Religious activities,Small,1,0,6
11050810640,Kybybolite Protection Groupincorporated,Emergency and relief,Small,0,0,12
11051212745,Warradargee Volunteer Bush Fire Brigade,Social services,Small,0,0,30
11056475105,St Andrews Lutheran Church Corowa,Religious activities,Small,0,0,0
11058759779,The Australian Viking Ships Museum Association Inc.,Culture and arts,Small,0,0,5
11062802797,Community Housing Limited,Housing activities,Large,51,10,0
11063402559,Unyball Pty Ltd,"Economic, social and community development",Small,0,1,6
11064494169,The Trustee For Community Foundation For Albury Wodonga Region,,Small,0,1,1
11064780067,Dirranbandi Arts Council Inc,Culture and arts,Small,0,0,20
11066289464,The Corndale Hall Inc.,Other recreation and social club activity,Small,0,0,8
11069533482,Anglican Deaconess Ministries Limited,Religious activities,Large,5,9,85
11071850028,St Andrews Anglican Church Lane Cove,Religious activities,Medium,1,4,120
11076178673,Dolphin Common Equity Rental Housing Co-Operative Ltd,Housing activities,Small,0,0,19
11078672755,The Parents & Friends Association Of Kincoppal Rose Bay,Primary and secondary education,Small,0,0,7
11079447763,Hunter Valley Brumby Association,Animal protection,Small,0,0,6
11079815697,Little Company Of Mary Health Care Limited,Hospital services and rehabilitation activities,Large,47,2,0
11080436433,Imam Husain Limited,Religious activities,Small,2,0,3
11081630729,Uca - Grahamstown Multicentre Congregations,Religious activities,Small,1,3,5
11081815889,Church Of Christ Cairns,Religious activities,Small,0,0,1
11082241761,Church Of Christ Belmore,Religious activities,Small,0,1,30
