uniqid,Name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1,ABN,From
1,Abacus - Australian Mutuals,Business association,3.0,1992.0,NSW,financial and insurance activities,business organization,55008664140,DOAA 2012
2,ABC Doll Club,Leisure group,0.0,,QLD,,recreational,59265676029,ABN Lookup
3,Able Australia,Service Group,327.0,1967.0,VIC,,disabled and health advocacy,83024339234,DOAA 2012
4,Aboriginal & Torres Strait Islander Library & Information Resource Network Inc,Citizen group,0.0,1993.0,ACT,,identity groups,94119934684,DOAA 2012
5,Aboriginal Children's Advancement Society,Service Group,1.0,1963.0,NSW,,social welfare and poor,78002677581,ABN Lookup
6,Abused Child Trust,Service Group,70.0,1988.0,QLD,,social welfare and poor,47051964673,ABN Lookup
7,Academy of the Social Sciences in Australia,Professional group,3.0,1971.0,ACT,education,occupational association,59957839703,ABN Lookup
8,Accommodation Association of Australia,Business association,9.0,1969.0,NSW,accommodation and food service activities,business organization,32088943239,DOAA 2012
9,Aceda Inc,Service Group,8.0,1983.0,SA,,disabled and health advocacy,84021221084,ABN Lookup
10,Acoustic Neuroma Association Australia Inc,Service Group,0.0,1984.0,VIC,,disabled and health advocacy,99007168634,ABN Lookup
11,ActionAid Australia,Citizen group,22.0,2009.0,NSW,,social welfare and poor,87001251930,ABN Lookup
12,Active Ageing Australia,Service Group,1.0,,SA,,social welfare and poor,61344159843,ABN Lookup
13,Adult Learning Australia,Citizen group,1.0,1960.0,VIC,,education,78533061672,ABN Lookup
14,Adults Surviving Child Abuse,Service Group,2.0,1995.0,NSW,,social welfare and poor,49072260005,ABN Lookup
15,Advanced Association of Beauty Therapists,Professional group,,1974.0,NSW,other service activities,occupational association,40001302754,DOAA 2012
16,Adventist Development & Relief Agency Australia,Service Group,21.0,1978.0,NSW,,social welfare and poor,85109435618,ABN Lookup
17,Aerial Agricultural Association of Australia,Business association,3.0,1958.0,ACT,agriculture forestry and fishing,business organization,13002501886,ABN Lookup
18,Aerosol Association of Australia,Business association,1.0,1964.0,NSW,manufacturing,business organization,48340393765,ABN Lookup
19,AFL Players' Association,Professional group,18.0,1974.0,VIC,arts entertainmnent and recreation,occupational association,25695729819,DOAA 2012
20,AFL Umpires Association,Professional group,3.0,1909.0,VIC,arts entertainmnent and recreation,occupational association,18832637241,DOAA 2012
21,African Violet Association of Australia,Leisure group,0.0,,NSW,,recreational,97185253352,ABN Lookup
22,AFS Intercultural Programs,Leisure group,14.0,1959.0,NSW,,education,54008507864,ABN Lookup
23,Aftercare,Service Group,44.0,1907.0,NSW,,disabled and health advocacy,58000020146,ABN Lookup
24,Aged & Community Services Australia,Citizen group,2.0,1975.0,VIC,,social welfare and poor,65070261871,DOAA 2012
26,Agribusiness Association of Australia,Business association,1.0,1989.0,SA,agriculture forestry and fishing,business organization,41407165846,ABN Lookup
28,AIDS Trust of Australia,Citizen group,1.0,1987.0,NSW,,disabled and health advocacy,94511958808,ABN Lookup
30,Air Conditioning and Mechanical Contractors' Association of Australia,Business association,7.0,1960.0,VIC,electricity gas steam and air conditioning supply,business organization,70002913617,ABN Lookup
31,Air Conditioning and Refrigeration Equipment Manufacturers Association,Professional group,2.0,1968.0,ACT,electricity gas steam and air conditioning supply,occupational association,88126332810,ABN Lookup
32,Air Pollution Control Equipment Manufacturers Association,Business association,,1987.0,NSW,manufacturing,business organization,85397178361,ABN Lookup
33,Aircraft Owners and Pilots Association of Australia,Professional group,1.5,1949.0,NSW,transportation and storage,occupational association,95004274588,ABN Lookup
34,Al-Anon Family Groups Pty Ltd,Service Group,2.0,1951.0,VIC,,disabled and health advocacy,30251705569,ABN Lookup
35,Albanian Australian Community Association,Leisure group,0.0,,VIC,,identity groups,43704172848,ABN Lookup
37,Alison Hunter Memorial Foundation,Hybrid group,0.0,1998.0,NSW,,disabled and health advocacy,98085075305,ABN Lookup
38,Allergy & Anaphylaxis Australia,Hybrid group,2.0,1993.0,NSW,,disabled and health advocacy,70693242620,DOAA 2012
39,Allergy & Environmental Sensitivity Support & Research Association,Service Group,0.0,1984.0,VIC,,disabled and health advocacy,32386589943,DOAA 2012
40,Allied Health Professions Australia,Professional group,1.0,1977.0,VIC,human health and social work activities,occupational association,60083141664,ABN Lookup
41,Almond Board of Australia,Business association,7.0,,SA,agriculture forestry and fishing,business organization,31709079099,ABN Lookup
42,Alternative Technology Association,Citizen group,10.0,1980.0,VIC,,public interest,57533056318,ABN Lookup
43,Alzheimer's Australia,Hybrid group,411.0,1985.0,ACT,,disabled and health advocacy,74688640790,ABN Lookup
44,AM Institute,Professional group,2.0,1990.0,VIC,financial and insurance activities,occupational association,50023683196,ABN Lookup
45,Amateur Chamber Music Society,Leisure group,,1984.0,NSW,,arts and cultural,38436569896,ABN Lookup
46,American Chamber of Commerce in Australia - National/Sydney Office,Business association,20.0,1961.0,NSW,other service activities,business organization,62000361633,ABN Lookup
47,AMIDA,Citizen group,1.5,1981.0,VIC,,disabled and health advocacy,65084927391,ABN Lookup
48,Amorphous Silica Association of Australia,Business association,1.0,2003.0,NSW,construction,business organization,53952253883,ABN Lookup
49,AMPLA Ltd,Business association,2.0,1976.0,VIC,professional scientific and technical activities,business organization,98006037529,ABN Lookup
50,Amy Gillett Foundation,Citizen group,8.0,,VIC,,public interest,46200981503,ABN Lookup
51,Anglican Mens Society in Australia,Leisure group,0.0,1910.0,VIC,,identity groups,88198393434,ABN Lookup
52,Angus Australia,Business association,12.0,1919.0,NSW,agriculture forestry and fishing,business organization,56000574210,ABN Lookup
53,Animal Health Alliance,Business association,2.0,2006.0,ACT,professional scientific and technical activities,business organization,71410180849,ABN Lookup
55,Animals Asia Foundation,Citizen group,300.0,1995.0,SA,,public interest,63342853597,ABN Lookup
56,Animals Australia,Citizen group,13.0,1980.0,VIC,,public interest,65016845767,ABN Lookup
57,Apex Foundation,Service Group,2.0,,NSW,,social welfare and poor,58001347897,ABN Lookup
58,Appita Inc,Business association,1.0,1947.0,VIC,manufacturing,business organization,45093520019,ABN Lookup
59,Apple and Pear Australia,Business association,7.0,2002.0,VIC,agriculture forestry and fishing,business organization,55490626489,ABN Lookup
60,Arabian Horse Society of Australia Ltd,Leisure group,6.0,1956.0,NSW,,public interest,12001281590,ABN Lookup
61,Arboriculture Australia,Business association,,,SA,agriculture forestry and fishing,business organization,77090873644,ABN Lookup
62,Archery Australia Inc,Citizen group,4.0,1948.0,NSW,,recreational,26458735812,ABN Lookup
63,Architectural Door Hardware Association,Business association,0.5,,VIC,professional scientific and technical activities,business organization,76437349282,ABN Lookup
65,Armenian National Committee of Australia,Citizen group,,,VIC,,identity groups,86879639503,ABN Lookup
66,Arthritis Australia,Citizen group,5.0,1949.0,NSW,,disabled and health advocacy,67002598594,ABN Lookup
67,Arts Access Australia,Citizen group,1.0,1992.0,VIC,,arts and cultural,20084007321,ABN Lookup
69,Arts Law Centre of Australia,Hybrid group,6.0,1983.0,NSW,,arts and cultural,71002706256,ABN Lookup
70,Asbestos Diseases Foundation of Australia Inc,Citizen group,0.5,1990.0,NSW,,disabled and health advocacy,29170956389,ABN Lookup
71,Asbestoswise,Hybrid group,1.0,1992.0,VIC,,disabled and health advocacy,74776624469,ABN Lookup
72,Ash Development Association of Australia,Business association,,1991.0,NSW,manufacturing,business organization,79053753772,ABN Lookup
74,Association for Data-driven Marketing & Advertising,Business association,18.0,1966.0,NSW,professional scientific and technical activities,business organization,53156305487,ABN Lookup
75,Association for Manufacturing Excellence,Professional group,,,VIC,manufacturing,occupational association,90484770725,DOAA 2012
76,Association for Tertiary Education Management,Professional group,5.0,1976.0,NSW,education,occupational association,72682233729,ABN Lookup
77,Association for the Study of Australian Literature,Leisure group,,,NSW,,arts and cultural,37002755599,ABN Lookup
78,Association of Accounting Technicians Australia,Professional group,2.0,2002.0,VIC,professional scientific and technical activities,occupational association,25085441934,ABN Lookup
79,Association of Australian Acoustical Consultants,Professional group,0.0,,QLD,professional scientific and technical activities,occupational association,79354670646,ABN Lookup
80,Association of Australian Convention Bureaux,Business association,1.0,1986.0,VIC,professional scientific and technical activities,business organization,17417097078,ABN Lookup
81,Association of Australian Investigators Inc,Professional group,,,VIC,administrative and support service activities,occupational association,81092281868,DOAA 2012
82,"Association of Consultants in Access, Australia",Professional group,0.5,2000.0,VIC,human health and social work activities,occupational association,45978370019,ABN Lookup
83,Association of Consulting Architects,Professional group,,1986.0,VIC,professional scientific and technical activities,occupational association,25619781055,DOAA 2012
84,Association of Feng Shui Consultants,Professional group,0.0,,NSW,arts entertainmnent and recreation,occupational association,33040714240,ABN Lookup
85,Association of Financial Advisers,Professional group,5.0,1946.0,NSW,financial and insurance activities,occupational association,29008619921,ABN Lookup
86,Association of Heads of Independent Schools of Australia,Professional group,3.0,1985.0,ACT,education,occupational association,43957339364,ABN Lookup
87,Association of Hospital Supply and Purchasing Officers Inc,Professional group,,1956.0,VIC,human health and social work activities,occupational association,82958634724,ABN Lookup
88,Association of Hydraulic Services Consultants Australia Inc,Professional group,,1974.0,QLD,construction,occupational association,23031331289,ABN Lookup
89,Association of Independent Retirees Ltd,Citizen group,0.0,1990.0,ACT,,age,38059010418,ABN Lookup
90,Association of Market and Social Research Organisations,Business association,1.0,,NSW,professional scientific and technical activities,business organization,20107667398,ABN Lookup
91,Association of Massage Therapists Ltd,Professional group,2.0,1966.0,NSW,human health and social work activities,occupational association,32001859285,ABN Lookup
92,Association of Mining Exploration Companies,Business association,9.0,1981.0,WA,mining and quarrying,business organization,33362864696,ABN Lookup
93,Association of Professional Aestheticians of Australia,Professional group,1.0,1957.0,QLD,other service activities,occupational association,35001511280,ABN Lookup
95,Association of Professional Color Imagers -Australia,Professional group,2.0,1979.0,NSW,professional scientific and technical activities,occupational association,54003905806,DOAA 2012
96,"Association of Professional Engineers, Scientists and Managers",Professional group,130.0,1946.0,VIC,professional scientific and technical activities,occupational association,99589872974,ABN Lookup
98,Association of Superannuation Funds of Australia Ltd,Business association,40.0,1962.0,NSW,financial and insurance activities,business organization,29002786290,ABN Lookup
99,Association of Taxation and Management Accountants,Professional group,,1985.0,NSW,professional scientific and technical activities,occupational association,32002876208,ABN Lookup
100,Association of Women Educators,Professional group,0.5,1983.0,QLD,education,occupational association,95591609742,ABN Lookup
101,Assyrian Australian Association,Citizen group,1.0,1969.0,NSW,,identity groups,29000708618,ABN Lookup
102,Asthma Australia,Hybrid group,3.0,1992.0,SA,,disabled and health advocacy,47931649319,ABN Lookup
103,Astronomical Society of Australia,Professional group,0.0,1960.0,TAS,professional scientific and technical activities,occupational association,37660297848,ABN Lookup
104,Atheist Foundation of Australia Inc,Citizen group,0.0,1970.0,SA,,identity groups,14375720019,ABN Lookup
105,Athletics Australia,Business association,24.0,1897.0,VIC,arts entertainmnent and recreation,business organization,72006447294,ABN Lookup
106,Auctioneers and Valuers Association of Australia,Business association,,1952.0,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,21000109544,ABN Lookup
107,Audiological Society of Australia (t/a Audiology Australia),Professional group,2.0,1968.0,VIC,human health and social work activities,occupational association,11064552781,ABN Lookup
108,Audit Bureau of Australia,Business association,7.0,1932.0,NSW,information and communication,business organization,78139927254,ABN Lookup
109,AusBiotech Ltd,Business association,3.0,2001.0,VIC,professional scientific and technical activities,business organization,87006509726,ABN Lookup
110,Ausglass,Professional group,1.0,1978.0,VIC,arts entertainmnent and recreation,occupational association,16981595730,ABN Lookup
111,AUSPELD - The Australian Federation of SPELD Associations,Citizen group,,1968.0,QLD,,education,26314427351,ABN Lookup
112,Aussie Helpers,Service Group,1.0,2002.0,NSW,,social welfare and poor,29126111582,ABN Lookup
113,Austmine,Business association,10.0,,NSW,mining and quarrying,business organization,77008657887,ABN Lookup
115,Australia Africa Business Council,Business association,0.0,1990.0,NSW,other service activities,business organization,47224143759,ABN Lookup
116,Australia Arab Chamber of Commerce and Industry Inc,Business association,2.0,1975.0,ACT,other service activities,business organization,61001639452,ABN Lookup
117,Australia Belted Galloway Association,Business association,0.0,,NSW,agriculture forestry and fishing,business organization,65169855060,ABN Lookup
118,Australia China Business Council,Business association,,1973.0,NSW,other service activities,business organization,57075909625,ABN Lookup
120,Australia for UNHCR,Service Group,112.0,2000.0,NSW,,public interest,35092843322,ABN Lookup
121,Australia India Business Council,Business association,0.5,1986.0,SA,other service activities,business organization,53049116260,ABN Lookup
122,Australia Korean Welfare Association,Service Group,2.0,1979.0,NSW,,identity groups,36003113086,ABN Lookup
123,Australia Medic Alert Foundation,Service Group,13.0,1971.0,SA,,disabled and health advocacy,31140801427,ABN Lookup
124,Australia New Guinea Fishes Association,Leisure group,0.0,1982.0,VIC,,public interest,67773290845,ABN Lookup
125,Australia Tibet Council,Citizen group,1.0,,NSW,,public interest,15088312529,ABN Lookup
126,Australia Zoo Wildlife Warriors Worldwide Ltd,Citizen group,3.0,2002.0,QLD,,public interest,13102721513,ABN Lookup
128,Australia-Brazil Chamber of Commerce Inc,Business association,0.5,1978.0,NSW,other service activities,business organization,28448695142,ABN Lookup
129,Australia-Fiji Business Council,Business association,1.0,1986.0,QLD,other service activities,business organization,76165044530,ABN Lookup
131,Australia-Israel Chamber of Commerce,Business association,,1970.0,NSW,other service activities,business organization,35000833385,ABN Lookup
132,Australia-Japan Business Cooperation Committee,Business association,1.0,1962.0,ACT,other service activities,business organization,71702049953,ABN Lookup
133,Australia-Latin America Business Council,Business association,1.0,1989.0,NSW,other service activities,business organization,27091186015,ABN Lookup
134,Australia-Malaysia Business Council,Business association,0.5,1988.0,ACT,other service activities,business organization,94580524709,ABN Lookup
135,Australia-Papua New Guinea Business Council,Business association,2.0,1981.0,QLD,other service activities,business organization,72388264409,ABN Lookup
136,Australia-Philippines Business Council Inc,Business association,,1988.0,NSW,other service activities,business organization,20012377422,ABN Lookup
137,Australia-Singapore Chamber of Commerce and Industry Ltd,Business association,0.5,1986.0,NSW,other service activities,business organization,98003444719,ABN Lookup
138,Australia-Taiwan Business Council,Business association,1.0,1984.0,NSW,other service activities,business organization,54277276297,ABN Lookup
139,Australia-Thailand Business Council,Business association,,1988.0,ACT,other service activities,business organization,59344991035,ABN Lookup
140,Australia/Israel & Jewish Affairs Council,Citizen group,15.0,,VIC,,identity groups,32568046511,DOAA 2012
141,Australian Academy of Science,Professional group,,1954.0,ACT,professional scientific and technical activities,occupational association,90700613342,ABN Lookup
142,Australian Academy of Technological Sciences and Engineering,Professional group,9.0,1976.0,VIC,professional scientific and technical activities,occupational association,58008520394,ABN Lookup
143,Australian Academy of the Humanities,Professional group,4.0,1969.0,ACT,education,occupational association,22568475852,ABN Lookup
